"Task","Start Date","Due Date","Status","Owner"
"Sprint1","2022-01-22","2022-01-29","INF-191A","Qinyu Chen"
"Sprint2","2022-02-05","2022-02-12","INF-191A","Qinyu Chen"
"Sprint3","2022-02-19","2022-02-26","INF-191A","Qinyu Chen"
"Sprint4","2022-03-05","2022-03-12","INF-191A","Qinyu Chen"
"Communication Covenant","2022-01-20","2022-01-23","INF-191A","Qinyu Chen"
"Stakeholder Communication Plan","2022-01-19","2022-01-23","INF-191A","Qinyu Chen"
"Business Case-Draft","2022-01-19","2022-01-23","INF-191A","Qinyu Chen"
"Business Case - Final","2022-01-25","2022-01-30","INF-191A","Qinyu Chen"
"Project Plan - Draft","2022-01-19","2022-01-23","INF-191A","Qinyu Chen"
"Project Plan - Final","2022-01-25","2022-02-06","INF-191A","Qinyu Chen"
"Risk Analysis - Draft","2022-01-25","2022-01-30","INF-191A","Qinyu Chen"
"Risk Analysis - Final","2022-02-10","2022-02-13","INF-191A","Qinyu Chen"
"Requirements - Draft","2022-01-19","2022-01-30","INF-191A",""
"Requirements - Updated","2022-02-01","2022-02-13","INF-191A",""
"Requirements - Final","2022-02-20","2022-02-27","INF-191A",""
"Software Design - Draft","2022-02-01","2022-02-13","INF-191A",""
"Software Design - Final","2022-02-15","2022-02-20","INF-191A",""
"UI Document - Draft","2022-02-01","2022-02-13","INF-191A",""
"UI Document - Final","2022-02-15","2022-02-20","INF-191A",""
" GRIPS - Draft","2022-03-01","2022-03-06","INF-191A",""
" GRIPS - Final","2022-03-09","2022-03-13","INF-191A",""
